Country Code,Year,urban_pop_percentage
AFG,1960,8.401
AGO,1960,10.435
ALB,1960,30.705
ARE,1960,73.5
ARG,1960,73.611
ARM,1960,51.275
ASM,1960,66.211
ATG,1960,39.656
AUS,1960,81.529
AUT,1960,64.72
AZE,1960,52.663
BDI,1960,2.077
BEL,1960,92.46
BEN,1960,9.275
BFA,1960,4.7
BGD,1960,5.135
BGR,1960,37.1
BHR,1960,82.32
BHS,1960,59.712
BIH,1960,19.04
BLR,1960,32.401
BLZ,1960,54.028
BMU,1960,100.0
BOL,1960,36.762
BRA,1960,46.139
BRB,1960,36.777
BRN,1960,43.401
BTN,1960,3.596
BWA,1960,3.06
CAF,1960,20.1
CAN,1960,69.061
CHE,1960,70.924
CHL,1960,67.836
CHN,1960,16.203
CIV,1960,17.679
CMR,1960,13.937
COD,1960,22.3
COG,1960,31.601
COL,1960,46.268
COM,1960,12.551
CPV,1960,16.679
CRI,1960,34.254
CUB,1960,58.401
CYM,1960,100.0
CYP,1960,35.628
CZE,1960,59.548
DEU,1960,71.384
DJI,1960,50.325
DMA,1960,37.846
DNK,1960,73.687
DOM,1960,30.191
DZA,1960,30.51
ECU,1960,33.878
EGY,1960,37.864
ERI,1960,9.799
ESP,1960,56.567
EST,1960,57.533
ETH,1960,6.433
FIN,1960,55.29
FJI,1960,29.681
FRA,1960,61.88
FSM,1960,22.312
GAB,1960,17.398
GBR,1960,78.444
GEO,1960,43.069
GHA,1960,23.252
GIN,1960,10.472
GMB,1960,12.129
GNB,1960,13.6
GNQ,1960,25.537
GRC,1960,55.936
GRD,1960,30.332
GTM,1960,31.121
GUM,1960,50.147
GUY,1960,29.009
HKG,1960,85.2
HND,1960,22.747
HRV,1960,30.154
HTI,1960,15.593
HUN,1960,55.911
IDN,1960,14.586
IND,1960,17.924
IRL,1960,45.184
IRN,1960,33.735
IRQ,1960,42.899
ISL,1960,80.3
ISR,1960,76.848
ITA,1960,59.361
JAM,1960,33.769
JOR,1960,50.879
JPN,1960,63.272
KAZ,1960,44.198
KEN,1960,7.362
KGZ,1960,34.181
KHM,1960,10.285
KIR,1960,16.29
KNA,1960,27.644
KOR,1960,27.71
KWT,1960,74.893
LAO,1960,7.946
LBN,1960,42.343
LBR,1960,18.632
LBY,1960,27.323
LCA,1960,21.46
LIE,1960,20.437
LKA,1960,16.431
LSO,1960,3.512
LTU,1960,39.46
LUX,1960,69.556
LVA,1960,52.867
MAC,1960,95.289
MAF,1960,N/A
MAR,1960,29.357
MDA,1960,23.424
MDG,1960,10.642
MDV,1960,11.173
MEX,1960,50.753
MHL,1960,35.584
MKD,1960,34.02
MLI,1960,11.066
MLT,1960,90.129
MMR,1960,19.226
MNE,1960,18.788
MNG,1960,35.679
MNP,1960,51.219
MOZ,1960,6.868
MRT,1960,6.88
MUS,1960,35.111
MWI,1960,4.39
MYS,1960,26.598
NAM,1960,17.909
NCL,1960,37.36
NER,1960,5.793
NGA,1960,15.41
NIC,1960,39.581
NLD,1960,59.752
NOR,1960,49.92
NPL,1960,3.48
NZL,1960,75.998
OMN,1960,16.4
PAK,1960,22.104
PAN,1960,41.249
PER,1960,46.811
PHL,1960,30.297
PLW,1960,56.823
PNG,1960,3.725
POL,1960,47.892
PRI,1960,44.547
PRK,1960,40.195
PRT,1960,34.955
PRY,1960,35.569
PSE,1960,44.044
PYF,1960,42.281
QAT,1960,85.275
ROU,1960,34.209
RUS,1960,53.731
RWA,1960,2.6
SAU,1960,31.25
SDN,1960,10.746
SEN,1960,23.0
SGP,1960,100.0
SLB,1960,5.768
SLE,1960,17.352
SLV,1960,38.354
SOM,1960,17.312
SRB,1960,29.064
SSD,1960,8.748
STP,1960,16.073
SUR,1960,47.26
SVK,1960,33.464
SVN,1960,28.204
SWE,1960,72.49
SWZ,1960,3.913
SXM,1960,100.0
SYC,1960,27.673
SYR,1960,36.807
TCA,1960,47.679
TCD,1960,6.695
TGO,1960,10.098
THA,1960,19.672
TJK,1960,33.168
TKM,1960,46.412
TLS,1960,10.091
TON,1960,17.552
TTO,1960,34.155
TUN,1960,37.511
TUR,1960,31.515
TUV,1960,15.895
TZA,1960,5.246
UGA,1960,4.417
UKR,1960,46.792
URY,1960,80.241
USA,1960,69.996
UZB,1960,33.978
VCT,1960,25.943
VEN,1960,61.613
VGB,1960,12.228
VIR,1960,56.477
VNM,1960,14.7
VUT,1960,10.404
WSM,1960,18.926
YEM,1960,9.1
ZAF,1960,46.619
ZMB,1960,18.145
ZWE,1960,12.608
AFG,1961,8.684
AGO,1961,10.798
ALB,1961,30.943
ARE,1961,74.383
ARG,1961,74.217
ARM,1961,52.147
ASM,1961,66.641
ATG,1961,39.04
AUS,1961,81.941
AUT,1961,64.814
AZE,1961,52.364
BDI,1961,2.115
BEL,1961,92.554
BEN,1961,9.856
BFA,1961,4.796
BGD,1961,5.278
BGR,1961,38.782
BHR,1961,82.337
BHS,1961,60.454
BIH,1961,19.686
BLR,1961,33.522
BLZ,1961,53.72
BMU,1961,100.0
BOL,1961,37.059
BRA,1961,47.122
BRB,1961,36.849
BRN,1961,45.228
BTN,1961,3.792
BWA,1961,3.097
CAF,1961,20.751
CAN,1961,69.668
CHE,1961,71.243
CHL,1961,68.66
CHN,1961,16.708
CIV,1961,18.911
CMR,1961,14.488
COD,1961,22.523
COG,1961,32.318
COL,1961,47.702
COM,1961,13.348
CPV,1961,16.948
CRI,1961,34.329
CUB,1961,58.588
CYM,1961,100.0
CYP,1961,36.175
CZE,1961,60.063
DEU,1961,71.697
DJI,1961,51.448
DMA,1961,37.912
DNK,1961,74.417
DOM,1961,31.112
DZA,1961,31.797
ECU,1961,34.466
EGY,1961,38.272
ERI,1961,10.114
ESP,1961,57.303
EST,1961,58.304
ETH,1961,6.65
FIN,1961,56.321
FJI,1961,30.248
FRA,1961,62.607
FSM,1961,22.553
GAB,1961,18.33
GBR,1961,78.374
GEO,1961,43.559
GHA,1961,23.797
GIN,1961,10.936
GMB,1961,12.331
GNB,1961,13.747
GNQ,1961,26.144
GRC,1961,56.453
GRD,1961,30.519
GTM,1961,31.768
GUM,1961,51.23
GUY,1961,29.049
HKG,1961,85.293
HND,1961,23.318
HRV,1961,31.04
HTI,1961,15.975
HUN,1961,56.335
IDN,1961,14.821
IND,1961,18.032
IRL,1961,45.393
IRN,1961,34.389
IRQ,1961,44.432
ISL,1961,80.803
ISR,1961,77.985
ITA,1961,59.856
JAM,1961,34.5
JOR,1961,52.412
JPN,1961,64.213
KAZ,1961,44.746
KEN,1961,7.565
KGZ,1961,34.511
